Sequence_ID	Organism	clone	isolation_source
ASV123	uncultured Fusarium	ASV123	soil from strawberry plantations
ASV131	uncultured Mortierella	ASV131	soil from strawberry plantations
ASV133	uncultured Dipodascaceae	ASV133	soil from strawberry plantations
ASV134	uncultured Talaromyces	ASV134	soil from strawberry plantations
ASV135	uncultured Mortierella	ASV135	soil from strawberry plantations
ASV136	uncultured Chaetomiaceae	ASV136	soil from strawberry plantations
ASV137	uncultured Pichia	ASV137	soil from strawberry plantations
ASV138	uncultured Hypocreales	ASV138	soil from strawberry plantations
ASV141	uncultured Rhizopus	ASV141	soil from strawberry plantations
ASV142	uncultured Papulaspora	ASV142	soil from strawberry plantations
ASV145	uncultured Arthrobotrys	ASV145	soil from strawberry plantations
ASV146	uncultured Ascomycota	ASV146	soil from strawberry plantations
ASV147	uncultured Olpidium	ASV147	soil from strawberry plantations
ASV149	uncultured Pleosporaceae	ASV149	soil from strawberry plantations
ASV151	uncultured Aphelidiomycetes	ASV151	soil from strawberry plantations
ASV152	uncultured Mortierella	ASV152	soil from strawberry plantations
ASV154	uncultured Mucor	ASV154	soil from strawberry plantations
ASV158	uncultured Coprinopsis	ASV158	soil from strawberry plantations
ASV160	uncultured Conlarium	ASV160	soil from strawberry plantations
ASV165	uncultured Chaetomiaceae	ASV165	soil from strawberry plantations
ASV167	uncultured Mortierella	ASV167	soil from strawberry plantations
ASV172	uncultured Polyschema	ASV172	soil from strawberry plantations
ASV175	uncultured Ascomycota	ASV175	soil from strawberry plantations
ASV178	uncultured Ascomycota	ASV178	soil from strawberry plantations
ASV180	uncultured Mortierella	ASV180	soil from strawberry plantations
ASV181	uncultured Conocybe	ASV181	soil from strawberry plantations
ASV188	uncultured Pleosporales	ASV188	soil from strawberry plantations
ASV190	uncultured Aspergillus	ASV190	soil from strawberry plantations
ASV192	uncultured Ascomycota	ASV192	soil from strawberry plantations
ASV203	uncultured Aphanoascus	ASV203	soil from strawberry plantations
ASV209	uncultured Fusarium	ASV209	soil from strawberry plantations
ASV219	uncultured Pezizales	ASV219	soil from strawberry plantations
ASV223	uncultured Ascomycota	ASV223	soil from strawberry plantations
ASV234	uncultured Rhinocladium	ASV234	soil from strawberry plantations
ASV240	uncultured Microascus	ASV240	soil from strawberry plantations
ASV245	uncultured Pseudallescheria	ASV245	soil from strawberry plantations
ASV248	uncultured Plectosphaerella	ASV248	soil from strawberry plantations
ASV251	uncultured Saturnispora	ASV251	soil from strawberry plantations
ASV256	uncultured Sordariales	ASV256	soil from strawberry plantations
ASV291	uncultured Sporormiaceae	ASV291	soil from strawberry plantations
ASV306	uncultured Microascales	ASV306	soil from strawberry plantations
ASV311	uncultured Auriculariales	ASV311	soil from strawberry plantations
ASV331	uncultured Chaetomiaceae	ASV331	soil from strawberry plantations
